Esh,Mish,GELU,ReLU,LeakyReLU,Swish,ELU
0.32356,0.257059991,0.251139998,0.256960005,0.231580004,0.28858,0.242960006
0.557259977,0.422219992,0.381960005,0.405380011,0.408879995,0.474059999,0.457120001
0.645579994,0.567080021,0.538259983,0.530680001,0.505859971,0.604480028,0.589579999
0.701539993,0.644720018,0.628340006,0.615980029,0.587379992,0.664659977,0.651560009
0.735800028,0.688759983,0.677519977,0.660960019,0.638979971,0.699899972,0.690180004
0.754019976,0.719739974,0.711160004,0.702279985,0.668560028,0.725520015,0.719340026
0.767520011,0.740100026,0.725300014,0.719380021,0.690720022,0.74466002,0.735000014
0.772360027,0.75405997,0.741180003,0.740980029,0.704779983,0.757200003,0.749559999
0.785480022,0.760160029,0.757579982,0.751519978,0.720780015,0.767199993,0.758840025
0.792760015,0.772599995,0.766340017,0.761759996,0.732020021,0.777540028,0.768119991
