Esh,Mish,GELU,ReLU,LeakyReLU,Swish,ELU
4.2221632,7.201994419,7.459181309,7.998721123,6.919229984,6.917031288,6.503691196
2.849045992,3.484687805,3.686130285,4.225594997,3.216606617,3.173236609,2.730760098
2.108508348,2.292551041,2.411043644,2.776276588,2.257561207,2.111323118,1.893457532
1.702238798,1.80304718,1.88270402,2.094520569,1.813076138,1.734130263,1.622370481
1.501159072,1.607716918,1.638913155,1.770299792,1.594838738,1.571839213,1.511910439
1.406358123,1.515147686,1.522122383,1.582788944,1.513058305,1.493902683,1.45914793
1.378131747,1.477059722,1.477748871,1.508530498,1.464547396,1.461969376,1.448501996
1.391310573,1.459306598,1.474816918,1.461813927,1.443905473,1.444501996,1.424518416
1.386967778,1.459434986,1.434459567,1.445887089,1.423936248,1.424218416,1.421037025
1.398148775,1.445573807,1.432118773,1.429240465,1.416178107,1.421033025,1.401033025
